fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
lindy_donoho_000_1_1_1.pst.142.xls,WOT by Month thru 2010:H32,225,1,216,1
darron_c_giron_002_1_1_1.pst.149.xls,Christopher-Custodial:E6,79,0,78,0
benjamin_rogers_000_1_1.pst.57.xls,Gas Curves:BV2,0,0,0,0
andy_zipper_000_1_1.pst.88.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
vkaminski_001_1_2_1.pst.36.xls,RMPM-Whole:I12,469,3,466,3
cooper_richey_000_1_1.pst.29.xls,Results:K5551,2,0,1,0
don_baughman_000_1_1.pst.178.xls,Sheet1:C20,37,1,21,1
kevin_presto_000_1_1.pst.17.xls,CALC:C104,1,0,1,0
keith_holst_000_1_1.pst.68.xls,Data WEI:B2,2,0,2,0
tracy_geaccone_000_1_1.pst.151.xls,Trackers:D61,958,9,947,10
robin_rodrigue_000_1_1.pst.148.xls,Sheet12:R936,3,0,2,0
harry_arora_000_1_1.pst.14.xls,Gas Curves:BV2,0,0,0,0
vkaminski_001_1_2_1.pst.130.xls,Expiration Dates:F9,5,0,3,0
don_baughman_000_1_1.pst.140.xls,Sheet1:C20,37,0,21,0
jonathan_mckay_000_1_1.pst.11.xls,TETCO_TRANSCO:Y86,270,1,270,1
john_arnold_000_1_2.pst.327.xls,F Trades:I22,4,0,4,0
david_delainey_000_1_1_1.pst.3.xls,Income:E4,868,6,867,6
bill_williams_iii_000_1_1.pst.68.xls,22:H6,38,0,37,0
