fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
ACI.xlsx,H=1.25-P=1.5:I37,345,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1009,845,29704,339,29645,367
工作簿1-20181123115814614.xlsx,不良明细:CEA5,100,2,0,1,0
NUKE.xlsx,20150310_NUKE.csv:AC213,3519,0,0,0,0
Processed Data-pre.xlsx,Password Sequences:A1,107,32,0,1,1
recentAPIdata2019.xlsx,Sheet:N38267,1441,1,1,1,1
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:C11,417,5610,52,5610,56
employmentForecast_presto.xlsx,dataOrig:L42,115,11,0,11,0
StarterBook_SC.xlsx,Bonus:D4,308,9,0,9,0
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CEA5,99,2,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16587,141,1,0,1,0
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11736,100,1,0,1,0
ExampleStudy.xlsx,Sources:E16,159,106,0,105,0
input_UC_iix2.xlsx,wind_test:I206,8070,4,0,4,0
KickstarterChallengeWColDeletes.xlsx,Kickstarter:J2877,178,2,0,2,0
bank_term_deposit.xlsx,DAILY RANGE:C11,122,6,0,2,0
advance_excel_project.xlsx,Sheet7 (2):D3,214,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CEA5,103,2,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,272,4,0,2,0
Copy of mytable_customer_details- solution.xlsx,mytable_customer_details:K1681,1446,4,0,3,0
enem_2012.xlsx,Sheet1:J127,90,1,0,1,0
Train_dataset (1).xlsx,Diuresis_TS:F6298,85,1,0,1,0
CL2.xlsx,Sheet30:B61,263,7,0,6,0
